institution_id,institution_name,acronym,type,category,subcategory,State,address,phone,url
IKBN-001,IKTBN Dusun Tua,IKBNDT,IPTA,ILKBS,IKTBN,Selangor,"Km 25, Dusun Tua, 43100 Hulu Langat, Selangor",03-90217100,https://kemahiran.kbs.gov.my/iktbndusuntua.html
IKBN-002,IKTBN Sepang,IKBNS,IPTA,ILKBS,IKTBN,Selangor,"Bandar Baru Salak Tinggi, 43900 Sepang, Selangor",03-87061720,https://kemahiran.kbs.gov.my/iktbnsepang.html
IKBN-003,IKTBN Chembong,IKBNC,IPTA,ILKBS,IKTBN,Negeri Sembilan,"71300 Rembau, Negeri Sembilan",06-6857900,https://kemahiran.kbs.gov.my/iktbnchembong.html
IKBN-004,IKTBN Bukit Mertajam,IKBNBM,IPTA,ILKBS,IKTBN,Pinang,"Jalan Berapit,14000 Bukit Mertajam, Pulau Pinang",04-5225288   ,https://kemahiran.kbs.gov.my/iktbnbukitmertajam.html
IKBN-005,IKTBN Alor Gajah,IKBNAG,IPTA,ILKBS,IKTBN,Melaka,"Km 34, Jalan Masjid Tanah, 78300 Masjid Tanah, Melaka",06-3851255,https://kemahiran.kbs.gov.my/iktbnalorgajah.html
IKBN-006,IKTBN Negara Pagoh,IKBNNP,IPTA,ILKBS,IKTBN,Johor,"Km 21, Jalan Panchor, 84500 Pagoh, Johor",06-9737836,https://kemahiran.kbs.gov.my/iktbnpagoh.html
IKBN-007,IKTBN Temerloh,IKBNT,IPTA,ILKBS,IKTBN,Pahang,"Kampung Bongsu, 28500 Lanchang, Temerloh, Pahang",09-2805550,https://kemahiran.kbs.gov.my/iktbntemerloh.html
IKBN-008,IKTBN Bachok,IKBNB,IPTA,ILKBS,IKTBN,Kelantan,"Kampong Tangok, 16300 Bachok, Kelantan",09-7787700,https://kemahiran.kbs.gov.my/iktbnbachok.html
IKBN-009,IKSN Kuala Langat,IKBNKL,IPTA,ILKBS,IKSN,Selangor,"Jalan Sultan Abdul Samad, Kampung Sungai Raba, 42700 Banting, Selangor",03-31802128,https://kemahiran.kbs.gov.my/iksnkualalangat.html
IKBN-010,IKBN Peretak,IKBNP,IPTA,ILKBS,IKBN,Selangor,"Jalan Ampang Pecah, 44000 Kuala Kubu Bharu, Selangor",03-60996000,https://kemahiran.kbs.gov.my/ikbnperetak.html
IKBN-011,IKBN Seri Iskandar,IKBNSI,IPTA,ILKBS,IKBN,Perak,"32600 Bota, Perak",05-3711101,https://kemahiran.kbs.gov.my/ikbnseriiskandar.html
IKBN-012,IKBN Naka,IKBNN,IPTA,ILKBS,IKBN,Kedah,"Mukim Tekai, Pekan Naka, Kedah",04-7993000,https://kemahiran.kbs.gov.my/ikbnnaka.html
IKBN-013,IKBN Jitra,IKBNJ,IPTA,ILKBS,IKBN,Kedah,"Km 23, Jalan Changloon, 06000 Jitra, Kedah",04-9174676,https://kemahiran.kbs.gov.my/ikbnjitra.html
IKBN-014,IKBN Kuala Perlis,IKBNKP,IPTA,ILKBS,IKBN,Perlis,"Jalan Bukit Kubu, 02000 Kuala Perlis, Perlis",04-9855985,https://kemahiran.kbs.gov.my/ikbnkualaperlis.html
IKBN-015,IKBN Tanah Merah,IKBNTM,IPTA,ILKBS,IKBN,Kelantan,"Jalan Bukit Panau, Tanah Merah, Kelantan",09-9509900,https://kemahiran.kbs.gov.my/ikbntanahmerah.html
IKBN-016,IKBN Wakaf Tapai,IKBNWT,IPTA,ILKBS,IKBN,Terengganu,"Km 24, Jalan Kuala Terengganu-Kuala Berang, 21040, Marang, Terengganu",09-6806000,https://kemahiran.kbs.gov.my/ikbnwakaftapai.html
IKBN-017,IKBN Kemasik,IKBNK,IPTA,ILKBS,IKBN,Terengganu,"Km 19, Jalan Kemaman-Dungun, 24200 Kemasik Kemaman, Terengganu",09-8664500,https://kemahiran.kbs.gov.my/ikbnkemasik.html
IKBN-018,IKBN Pekan,IKBNPE,IPTA,ILKBS,IKBN,Pahang,"Km 55, Jalan Kuantan-Segamat, 26650 Pekan, Pahang",09-4514888,https://kemahiran.kbs.gov.my/ikbnpekan.html
IKBN-019,IKBN Bandar Penawar,IKBNBP,IPTA,ILKBS,IKBN,Johor,"Jalan Kejora Utama, 81930 Bandar Penawar, Johor",07-8221567,https://kemahiran.kbs.gov.my/ikbnbandarpenawar.html
